Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
QJMOTOR 赛150,13999,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,17.0,12.5/9250,,international 6-speed,standard,-,2010x770x1125,765,145,12.5,99,-,,-,,"red, black, gray, blue"
QJMOTOR 赛250,19999,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  250cc,26.1,19.2/8500,,international 6-speed,standard,xx(mm),2050x785x1130,790,175,14,128,-,,-,,"matte taffeta white, sub gold black"
QJMOTOR 赛400,23999,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  400cc,44.9,33/9500,,international 6-speed,standard,-,2050x785x1130,785,179,14,,-,,-,,"Ferrari Red, BMW Grey, Cherry Blossom Pink, Cool Orange"
QJMOTOR 赛350,28999,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  350cc,36.7,27/9000,,international 6-speed,standard,xx(mm),2050x785x1130,785,179,14,,-,,-,,"Bright Moon White, Ferrari Red, Matte Black, Phantom Night Silver Grey"
QJMOTOR 赛450,Currently no quotation available,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  450cc,53.0,39/9500,,international 6-speed,standard,-,2030x750x1150,785,173,14.8,190,-,,-,,"Satisfied White, Vitality Red/Space Silver"
QJMOTOR 赛550S,29999,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  550cc,61.2,45/8500,,international 6-speed,standard,-,2090x770x1155,810,186,16.5,192,-,,-,,"Day Night Black, Yuanqi Red/Space Silver, Yuanqi Red, Sea Salt White"
QJMOTOR 赛600,39999,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline four cylinder four stroke water-cooled  600cc,88.4,65/11500,,international 6-speed,standard,-,2130x775x1150,790,213,18,190,-,,-,,"Red, White, Black"
QJMOTOR 赛800,52999,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline four cylinder four stroke water-cooled  800cc,102.0,75/10000,,international 6-speed,standard,-,2085x770x1150,815,207,16,220,-,,-,,"piano black, Ferrari red, taffeta white, matte silver gray, MOTO GP limited edition print"
QJMOTOR 赛921,69999,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline four cylinder four stroke water-cooled+oil cooled  920cc,129.2,95/10000,,international 6-speed,standard,-,2085x790x1130,835,215,16,239,-,,-,,
QJMOTOR 赛700,Currently no quotation available,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline dual cylinder four stroke water-cooled  700cc,76.1,56/,,-,standard,xx(mm),2070x810x1130,,193,0,,-,,-,,
QJMOTOR 赛1000,Currently no quotation available,QJMOTOR,sports car,domestic production,,inline four cylinder four stroke water-cooled  1000cc,,,,-,-,-,,,,0,,-,,-,,
QJMOTOR QJ400GS-16R,Currently no quotation available,QJMOTOR,sports car,domestic production,Zhejiang Qianjiang Motorcycle Co.,inline four cylinder four stroke water-cooled  420cc,77.5,57/,,international 6-speed,standard,-,2020x720x1130,,176,0,220,-,,-,,
QJMOTOR 闪150,12999,QJMOTOR,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,17.0,12.5/9250,,international 6-speed,standard,-,2120x800x1070,715,137,14.7,99,-,,-,,"Cool Orange, Sparkling Black"
QJMOTOR 闪250,16999,QJMOTOR,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,V-type twin cylinder four stroke water-cooled  250cc,28.1,20.7/9000,,international 6-speed,standard,-,2110x840x1080,700,161,13.5,122,-,,-,,"Sea Salt White, Space Silver, Matte Black"
QJMOTOR 闪300,23999,QJMOTOR,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,V-type twin cylinder four stroke water-cooled  300cc,30.7,22.6/9000,,AMT 6-speed automatic transmission,standard,-,2110x840x1080,700,163,13.5,129,-,,-,,"Yuanqi Red, Dumb Black, Mech Grey, Earth Grey, Ivory White"
QJMOTOR 闪350,24999,QJMOTOR,Cruising Crown Prince,Domestic,Zhejiang Qianjiang Motorcycle Co.,V-type twin cylinder four stroke water-cooled  350cc,32.6,24/8500,,international 6-speed,standard,-,2225x830x1105,720,168,16,138,-,,-,,
