Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
宗申 MO战,,,,,,,,,,,-,-,,,,,,,,,,
宗申 MO赞,9380,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,8.8,6.5/7500,,CVT continuously variable transmission automatic transmission,,-,1970x760x1128,740,121,5,85,2.36,,-,,
宗申 酷仔LZX48Q-2,Currently no quotation available,Zongshen,pedal,,,single cylinder four stroke air-cooled  125cc,9.0,6.6/,,CVT continuously variable transmission automatic transmission,none,-,1900x675x1090,740,108,0,80,-,,-,,
宗申 天翔ZS125-55F,,Zongshen,bending beam,,,single cylinder four stroke air-cooled  50cc,6.5,4.8/8000,,-,-,-,1910x750x1075,780,,10,,-,,-,,
宗申 风云ZS125-55F,4500,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,10.9,8/8500,,-,-,-,2040x755x1045,760,,18,,-,,-,,
宗申 ZS125-2S,4580,Zongshen,", street car,",,,with 125cc,,8/8500,,-,-,-,2065x740x1110,,125,15,85,3,,-,,
宗申 ZS125-2,4880,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,9.8,7.2/8500,,-,-,-,2010x740x1050,,106,11,90,2,,-,,
宗申 ZS125-11,5380,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,9.8,7.2/8500,,-,-,-,2010x740x1050,,106,0,90,-,,-,,
宗申 ZS150-38A,5480,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,9.8,7.2/8500,,-,,-,1990x730x1080,,115,0,90,-,,-,,
宗申 ZS125-11S,5580,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,11.6,8.5/8500,,-,None,-,2085x760x1140,,135,15,95,2,,-,,
宗申 ZS125-2C,5680,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,10.9,8/8500,,-,-,-,2040x790x1120,,123,15,95,2,,-,,
宗申 ZS125-67,5680,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,10.9,8/8500,,-,-,-,2060x780x1045,,124,11,95,2,,-,,
宗申 ZS125-55D,6280,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,9.5,7/8500,,-,-,-,1930x735x1045,,,12.5,90,-,,-,,
宗申 ZS125-55S,6280,Zongshen,", street car,",,,four stroke air-cooled  125cc,10.2,7.5/8500,,-,-,-,2085x805x1140,,130,15,95,2,,-,,
宗申 天翼ZS125-65,6280,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,10.9,8/8500,,-,-,-,2085x805x1140,,130,15,95,2,,-,,
宗申 ZS150-6,6380,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,10.9,8/8500,,-,-,-,2070x760x1065,,125,14,95,2,,-,,
宗申 ZS125-55,6380,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,11.6,8.5/8500,,-,-,-,2050x760x1080,,106,16,100,-,,-,,
宗申 天啸ZS150-40F,6500,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,9.8,7.2/8500,,-,-,-,2080x730x1220,,115,15,85,2.1,,-,,
宗申 炫风ZS125-68,6580,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,11.6,8.5/,,-,-,-,2085x805x1140,,130,0,95,2,,-,,
宗申 天翔ZS150-40F,6880,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,,,,-,-,-,,,,0,,-,,-,,
宗申 ZS150-6S,6680,Zongshen,", street car,",,,single cylinder four stroke air-cooled  149cc,11.8,8.7/8500,,-,-,-,2040x755x1045,760,,18,,-,,-,,
宗申 超悦ii代ZS150-6D,6880,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,11.56,8.5/8500,,2,-,-,2050,,106,11,100,2,,-,,
宗申 尊逸ZS150-30P,7280,Zongshen,", street car,",,,single cylinder air-cooled  150cc,10.6,7.8/7000,,-,-,-,2070x775x1170,,,0,90,-,,-,,
宗申 ZS125,7280,Zongshen,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  150cc,11.7,8.6/7500,,-,-,-,2176x897x1100,,125,13,90,2,,-,,
宗申 Z-One ZS150-48,7465,Zongshen,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  125cc,9.8,7.2/8500,,-,-,-,2010x740x1050,,106,11,90,2,,-,,
宗申 炫威,8000,Zongshen,", street car,",,,single cylinder four stroke air-cooled  150cc,12.24,9/8000,,-,-,-,2040,760,,18,,-,,-,,
宗申 迈速,7580,Zongshen,", street car,",,,single cylinder four stroke air-cooled  149cc,11.3,8.3/8000,,-,-,-,2068x795x1050,,150,14,90,-,,-,,
宗申 传奇ZS125-70,7600,Zongshen,", street car,",,,150cc,11.56,8.5/8000,,2,-,-,2065,,112,15,90,2,,-,,
宗申 ZS125-30s,7680,Zongshen,", street car,",,,single cylinder four stroke air-cooled  125cc,10.9,8/8000,,-,-,-,2060x780x1120,,,18,120,2,,-,,
宗申 Z-One ZS150-48A,7680,Zongshen,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  125cc,12.5,9.2/7500,,-,-,-,2145x840x1065,,115,13,90,-,,-,,
