Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Range (km),Available Colors,Max Horsepower (Ps)_is_imputed,Seat Height (mm)_is_imputed,Curb Weight (kg)_is_imputed,Fuel Tank Capacity (L)_is_imputed,Max Speed (km/h)_is_imputed
钛极 NEXY+/未界,Currently no quotation available,titanium,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,15.8,11.6/8500,Not Specified,CBS,Not specified,1970x770x1150,765.0,136.0,8.0,105.0,Not specified,Not specified,Not Specified,False,False,False,False,False
钛极 BOHEMIA/波西米亚,Currently no quotation available,titanium,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,15.8,11.6/8500,CVT continuously variable transmission automatic transmission,standard,Not specified,1920x740x1120,785.0,130.0,8.0,100.0,Not specified,Not specified,Titanium Extreme Silver,False,False,False,False,False
钛极 PHANTOM/飞腾,Currently no quotation available,titanium,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 300cc,25.2,18.5/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,1900x790x1200,775.0,150.0,11.0,118.0,Not specified,Not specified,Dark Night Black,False,False,False,False,False
钛极 HELLCAT/地狱猫,Currently no quotation available,titanium,Street car,domestic production,Not Specified,inline dual cylinder water-cooled 250cc,32.6,24/9500,Not specified,standard,Not specified,2100x805x1060,710.0,168.0,13.0,120.0,Not specified,Not specified,Titanium Extreme Silver,False,False,False,False,False
柴特 ZFR525C 复仇者,29900,Chaite,Sports car,domestic production,Jiangmen Changhua Group Co,inline dual cylinder four stroke water-cooled 500cc,53.8,39.6/8500,international 6-speed,standard,Not specified,205x80x1150,790.0,199.0,15.0,195.0,3.6,400,"Ice White, Track Blue",False,False,False,False,False
柴特 雷鸟,Currently no quotation available,Chaite,Street car,domestic production,Not Specified,inline dual cylinder four stroke water-cooled 500cc,53.0,39/8500,international 6-speed,standard,Not specified,Not Specified,770.0,130.0,0.0,95.0,Not specified,Not specified,Not Specified,False,True,True,False,True
柴特 Naja250 软尾版,23800,Chaite,Cruising crown prince,Domestic,Changzhou Shanqi Motorcycle Co,"V-type twin cylinder four stroke air-cooled, 250cc",17.9,13.2/7500,international 5-speed,Not specified,Not specified,2300x790x1154,660.0,130.0,9.0,100.0,Not specified,300,"Titanium Star Grey, Starry Sky Black",False,False,True,False,False
柴特 撼路者316,23800,Chaite,Cruising crown prince,Domestic,Changzhou Shanqi Motorcycle Co,V-type twin cylinder four stroke water-cooled 320cc,31.5,23.2/8500,international 6-speed,standard,Not specified,2250x845x1070,675.0,185.0,14.0,145.0,3.2,Not specified,"black, yellow, gray",False,False,False,False,False
柴特 Vincent文森特V316,23800,Chaite,Cruising crown prince,Domestic,Not Specified,V-type twin cylinder four stroke water-cooled 320cc,30.6,22.5/8500,international 6-speed,standard,Not specified,2250x862x1175,675.0,211.0,14.0,95.0,3.2,Not specified,"black, gray",False,False,False,False,True
柴特 博格 V250 硬尾版,25800,Chaite,Cruising crown prince,Domestic,Not Specified,"V-type twin cylinder four stroke air-cooled, 250cc",17.7,13/8000,international 5-speed,none,xx(mm),2370x720x920,640.0,175.0,6.8,106.0,Not specified,Not specified,Not Specified,False,False,False,False,False
柴特 博格 V250 软尾版,27800,Chaite,Cruising crown prince,Domestic,Changzhou Shanqi Motorcycle Co,"V-type twin cylinder four stroke air-cooled, 250cc",19.0,14/8000,international 5-speed,none,xx(mm),2280x715x1210,675.0,185.0,11.0,106.0,4.5,Not specified,Not Specified,False,False,False,False,False
柴特 One-Joy,10600,Chaite,Mini,Domestic,Changzhou Shanqi Motorcycle Co,single cylinder four stroke air-cooled 125cc,8.6,6.3/7500,international 4-speed,standard,Not specified,1570x680x920,600.0,85.0,10.0,85.0,2.3,Not specified,Not Specified,False,False,False,False,False
金城 草蜢 200 警用版,18980,Jincheng,Sports car,domestic production,Nanjing Jincheng Machinery Co,inline dual cylinder four stroke water-cooled 250cc,27.9,20.5/9500,international 6-speed,standard,xx(mm),2090x735x1170,780.0,178.0,18.0,140.0,Not specified,Not specified,"Icedew White, Starry Black, Deep Space Grey",False,False,False,False,False
金城 草蜢 150,15980,Jincheng,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,13.7,10.1/9500,CVT continuously variable transmission automatic transmission,standard,Not specified,1990x745x1135,770.0,130.0,7.0,110.0,2.7,Not specified,"green, blue",False,True,True,False,False
金城 提拉米苏,16800,Jincheng,Pedal,domestic,Chinese manufacturer Jincheng Group Co,single cylinder four stroke water-cooled 200cc,19.2,14.1/8250,CVT continuously variable transmission automatic transmission,standard,Not specified,2025x725x1345,810.0,160.0,8.0,125.0,2.6,Not specified,"green, blue",False,False,False,False,False
金城 欧宝路二代JC200T-6,17760,Jincheng,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 200cc,19.03,14/8250,continuously variable transmission,none,Not specified,2210,760.0,153.0,14.0,130.0,Not specified,Not specified,Not Specified,False,False,False,False,False
金城 提拉米苏 150,19980,Jincheng,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 150cc,14.7,10.8/8500,Not specified,standard,Not specified,2025x725x1345,770.0,160.0,8.0,100.0,2.5,Not specified,"red and white, black and red, blue and white",False,True,False,False,False
金城 越途Travelin,20178,Jincheng,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 189cc,18.63,13.7/8250,Not specified,Not Specified,Not specified,2210,790.0,176.0,8.0,110.0,2.9,Not specified,Not Specified,False,False,False,False,False
金城 天悦JC110T-A,6880,Jincheng,Pedal,domestic,Not Specified,single cylinder four stroke 110cc,8.8,6.5/8000,Not specified,Not Specified,Not specified,720x420x485,780.0,97.0,5.2,95.0,Not specified,Not specified,Not Specified,False,False,False,False,True
金城 越途JC200T-8,21800,Jincheng,Pedal,domestic,Not Specified,single cylinder four stroke water-cooled 200cc,19.0,14/8250,Not specified,Not Specified,Not specified,2210x780x1232,780.0,130.0,10.0,110.0,2.9,Not specified,Not Specified,False,False,True,False,False
金城 JC250-9,Currently no quotation available,Jincheng,Tension,domestically produced,Not Specified,single cylinder four stroke air-cooled 250cc,19.0,14/8500,Not specified,Not specified,Not specified,2090x870x1210,830.0,130.0,10.0,120.0,Not specified,Not specified,Not Specified,False,False,True,False,False
金城 JC200Y-6,Currently no quotation available,Jincheng,Off road,Domestic,Not Specified,single cylinder four stroke water-cooled 200cc,19.2,14.1/8500,international 6-speed,Not specified,Not specified,2060x810x1105,850.0,130.0,0.0,100.0,Not specified,Not specified,Not Specified,False,False,True,False,False
金城 森林之王 Forest King,23800,Jincheng,Pedal,domestic,Not Specified,Not Specified,12.6,Not Specified,Not Specified,standard,xx(mm),Not Specified,770.0,130.0,9.0,100.0,Not Specified,179,"light green, deep sea blue",True,True,True,True,False
